Sezon	Wyścig	Klasa	Grupa	#		Nazwisko menadżera	Nazwisko kierowcy	OW	Pensja	Długość	Nazwisko dyr technicznego	OW	Pensja	Długość	OW Personelu
83	3	Rookie	1	01.		Z.  Veselý	Laurent Larrauri	103	$1.234.567	14	-	-	-	-	5	
83	3	Rookie	1	02.		H.  Salomon	Luiz Moreno	99	$980.000	14	-	-	-	-	4	
83	3	Rookie	1	03.		M.  Stasiak	Yannick Duval	99	$364.000	14	-	-	-	-	4	
83	3	Rookie	1	04.		R.  Barbosa	Tobias Winkelhock	98	$700.000	14	-	-	-	-	4	
83	3	Rookie	1	05.		D.  Gs	Nicola La Rosa	96	$700.000	14	-	-	-	-	3	
83	3	Rookie	1	06.		L.  Špaček	Kamui Hirate	94	$700.000	14	-	-	-	-	6	
83	3	Rookie	1	07.		F.  Marek	Luiz Barrichello	92	$800.000	14	-	-	-	-	5	
83	3	Rookie	1	08.		M.  Loro	Hans Furchheim	92	$395.000	1	-	-	-	-	14	
83	3	Rookie	1	09.		Y.  Sated	Michele Modena	92	$691.001	14	-	-	-	-	4	
83	3	Rookie	1	10.		S.  Purificação	Giovanna Martini	90	$457.520	14	-	-	-	-	3	
83	3	Rookie	1	11.		Z.  Lipcsey	Damon Galica	89	$425.000	14	-	-	-	-	3	
83	3	Rookie	1	12.		F.  Lorenčič	Dennis Danner	88	$627.200	14	-	-	-	-	8	
83	3	Rookie	1	13.		T.  Suoanttila	Brian Walker F	88	$700.000	15	-	-	-	-	3	
83	3	Rookie	1	14.		D.  Millet	Hans-Joachim Wittmann	88	$500.000	13	-	-	-	-	14	
83	3	Rookie	1	15.		T.  Haake	Bruno Proetto	88	$550.000	4	-	-	-	-	5	
83	3	Rookie	1	16.		J.  Jirůšek	Gerard Max	87	$895.100	9	-	-	-	-	4	
83	3	Rookie	1	17.		O.  Usta	Nigel Mather	86	$500.000	13	-	-	-	-	3	
83	3	Rookie	1	18.		A.  Florindo	Alex Clucas	85	$415.000	14	-	-	-	-	3	
83	3	Rookie	1	19.		M.  Schiener	Marcus Palm R	84	$615.000	14	-	-	-	-	8	
83	3	Rookie	1	20.		D.  Molyneux	Claudio Amati	84	$450.000	14	-	-	-	-	6	
83	3	Rookie	1	21.		C.  Cugowski	Tom Hankey	84	$655.000	14	-	-	-	-	5	
83	3	Rookie	1	22.		D.  Gregorio	Damien Boullion	83	$1.068.000	8	-	-	-	-	3	
83	3	Rookie	1	23.		F.  Oliveira	Daniel Perkins	80	$470.000	14	-	-	-	-	3	
83	3	Rookie	1	24.		A.  Esteves	Yann Montagny	75	$2.179.598	8	-	-	-	-	3	
83	3	Rookie	1	25.		B.  Silvestri	Michael Rudersdorf	45	$220.000	16	-	-	-	-	4	
83	3	Rookie	1	26.		T.  Reccia	-	-	-	-	-	-	-	-	3	
83	3	Rookie	1	27.		A.  Palombo	-	-	-	-	-	-	-	-	3	
83	3	Rookie	1	28.		J.  Cottret	-	-	-	-	-	-	-	-	3	
83	3	Rookie	2	01.		I.  Hernandez	Gary Legge	102	$1.200.000	14	-	-	-	-	5	
83	3	Rookie	2	02.		J.  Anderson	Nico Zeller	100	$900.000	14	-	-	-	-	6	
83	3	Rookie	2	03.		D.  Miranda	Marco Francia	96	$415.000	14	-	-	-	-	3	
83	3	Rookie	2	04.		M.  Cau	Nico Vettel	94	$630.000	12	-	-	-	-	3	
83	3	Rookie	2	05.		A.  Hughes	Justin Stewart	93	$320.000	3	-	-	-	-	11	
83	3	Rookie	2	06.		D.  Silva	Luciano Barrichello	93	$942.735	14	-	-	-	-	5	
83	3	Rookie	2	07.		C.  Mihai	Jörg Müller	91	$1.000.000	14	-	-	-	-	3	
83	3	Rookie	2	08.		V.  Rodrigues	Justin Carroll	91	$750.000	14	-	-	-	-	3	
83	3	Rookie	2	09.		M.  Jevremovic	Stoffel Heylen	91	$426.018	14	-	-	-	-	3	
83	3	Rookie	2	10.		V.  Kumar	Joachim Winkelhock	90	$603.250	14	-	-	-	-	14	
83	3	Rookie	2	11.		A.  Lodi	Hans-Joachim Hofbauer	90	$469.089	14	-	-	-	-	6	
83	3	Rookie	2	12.		A.  G.	Mauro Schiattarella	90	$550.000	14	-	-	-	-	3	
83	3	Rookie	2	13.		W.  Chen Siu	Thomas Danner	87	$390.000	16	-	-	-	-	3	
83	3	Rookie	2	14.		R.  Lopes	Gianfranco Facetti	87	$749.794	15	-	-	-	-	3	
83	3	Rookie	2	15.		O.  Amurao	Guy Kimber-Smith	87	$400.000	14	-	-	-	-	6	
83	3	Rookie	2	16.		D.  Preece	Giovanni Liuzzi	87	$605.000	14	-	-	-	-	5	
83	3	Rookie	2	17.		F.  Lemgruber	Perry Williamson	85	$395.628	14	-	-	-	-	4	
83	3	Rookie	2	18.		P.  Mitsopoulos	Vic Kennedy	85	$658.000	14	-	-	-	-	7	
83	3	Rookie	2	19.		C.  Cismas Bercse	Michele Barbazza	84	$415.000	14	-	-	-	-	5	
83	3	Rookie	2	20.		L.  Trakovicky	Lewis Beuttler	84	$500.000	14	-	-	-	-	3	
83	3	Rookie	2	21.		K.  Ontuga	Natalia Szczerbinski	84	$395.000	13	-	-	-	-	4	
83	3	Rookie	2	22.		C.  Berthi	Gianfranco Pirro	83	$692.612	14	-	-	-	-	3	
83	3	Rookie	2	23.		C.  Blomquist	Damien Acheson F	82	$1.020.000	8	-	-	-	-	3	
83	3	Rookie	2	24.		J.  Mills	Francois Pasini	81	$1.008.000	9	-	-	-	-	3	
83	3	Rookie	2	25.		S.  Brito	Damien Panis	77	$960.000	7	-	-	-	-	3	
83	3	Rookie	2	26.		F.  Vieira	Divina Hill F	58	$280.000	2	-	-	-	-	4	
83	3	Rookie	2	27.		N.  Adinalag	-	-	-	-	-	-	-	-	3	
83	3	Rookie	2	28.		J.  Boon	-	-	-	-	-	-	-	-	3	
83	3	Rookie	2	29.		J.  Curbelo Sanz	-	-	-	-	-	-	-	-	3	
83	3	Rookie	3	01.		M.  Chiappano	Anthony Hill	98	$729.065	14	-	-	-	-	3	
83	3	Rookie	3	02.		R.  Rodriguez	Justin Mcnish	97	$477.662	13	-	-	-	-	3	
83	3	Rookie	3	03.		V.  Simagin	Michael Leinders	96	$837.763	13	-	-	-	-	6	
83	3	Rookie	3	04.		C.  Mogan	Ian Warwick	96	$750.000	14	-	-	-	-	10	
83	3	Rookie	3	05.		C.  Kallin	Gus Kite	93	$358.400	16	-	-	-	-	10	
